==97626== NVPROF is profiling process 97626, command: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 96 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==97626== Profiling application: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 96 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==97626== Warning: Found 3906360 invalid records in the result.
==97626== Warning: This can happen if device ran out of memory or if a device kernel was stopped due to an assertion.
==97626== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  8.37%  149.972s    223020  672.46us  49.057us  6.1635ms  void Eigen::internal::OuterReductionKernel<int=16, Eigen::TensorEvaluator<Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::array<long, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::GpuDevice>, Eigen::internal::SumReducer<float>, int>(Eigen::internal::SumReducer<float>, float, long, float, Eigen::internal::SumReducer<float>::CoeffReturnType*)
  5.68%  101.920s    718200  141.91us  1.5040us  3.8710ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  5.55%  99.5288s    849476  117.16us  1.5680us  160.59ms  [CUDA memcpy DtoH]
  5.08%  91.0053s    525090  173.31us     768ns  160.59ms  [CUDA memcpy HtoD]
  4.45%  79.7363s     14532  5.4870ms  1.3505ms  6.4956ms  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*)
  4.40%  78.7964s    145549  541.37us  73.921us  2.7362ms  void tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<float, int=32>(float const *, tensorflow::functor::Dimension<int=3>, tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<float, int=32>*)
  3.94%  70.6169s    112550  627.43us  8.8330us  2.8945ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorBroadcastingOp<Eigen::array<long, unsigned long=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::TensorBroadcastingOp<Eigen::array<long, unsigned long=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const > const > const , Eigen::GpuDevice>, int>(float, int=2)
  3.83%  68.6655s      6444  10.656ms  3.7851ms  25.324ms  maxwell_scudnn_128x64_interior_nn
  3.68%  65.9123s     55020  1.1980ms  141.48us  4.9297ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  3.20%  57.4543s     28777  1.9965ms  1.5676ms  2.8758ms  maxwell_sgemm_128x128_nn
  3.03%  54.2916s      3150  17.235ms  7.8113ms  29.756ms  void cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>*, kernel_grad_params, int, int, float, int)
  2.97%  53.1818s     25953  2.0492ms  1.6024ms  2.9988ms  maxwell_sgemm_128x128_tn
