==37195== NVPROF is profiling process 37195, command: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 48 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==37195== Profiling application: python train_multigpu.py --train_dir ./train_multigpu1 --batch_size 48 --num_gpus 4 --max_steps 25000 --initial_lr 0.001 --lr_step_epoch 3.0 --lr_decay 0.1 --l2_weight 0.0001 --momentum 0.9 --gpu_fraction 0.96 --checkpoint_interval 6672
==37195== Warning: Found 875727 invalid records in the result.
==37195== Warning: This can happen if device ran out of memory or if a device kernel was stopped due to an assertion.
==37195== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  7.71%  49.6375s    153700  322.95us  28.737us  3.0890ms  void Eigen::internal::OuterReductionKernel<int=16, Eigen::TensorEvaluator<Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::array<long, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::GpuDevice>, Eigen::internal::SumReducer<float>, int>(Eigen::internal::SumReducer<float>, float, long, float, Eigen::internal::SumReducer<float>::CoeffReturnType*)
  7.35%  47.3277s    363319  130.26us  1.6000us  109.41ms  [CUDA memcpy DtoH]
  5.51%  35.4469s    495230  71.576us  1.5040us  1.8869ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  4.61%  29.7127s    219008  135.67us     768ns  79.782ms  [CUDA memcpy HtoD]
  4.23%  27.2066s    100332  271.17us  35.937us  1.3731ms  void tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<float, int=32>(float const *, tensorflow::functor::Dimension<int=3>, tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<float, int=32>*)
  4.06%  26.1547s     10024  2.6092ms  706.48us  3.5906ms  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*)
  3.75%  24.1336s     77566  311.14us  8.6720us  1.5482ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorBroadcastingOp<Eigen::array<long, unsigned long=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::TensorBroadcastingOp<Eigen::array<long, unsigned long=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const > const > const , Eigen::GpuDevice>, int>(float, int=2)
  3.62%  23.3292s      4452  5.2402ms  1.9462ms  10.563ms  maxwell_scudnn_128x64_interior_nn
  3.50%  22.5607s     37947  594.53us  68.770us  2.4699ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  2.80%  18.0481s     18350  983.55us  804.65us  1.6231ms  maxwell_sgemm_128x128_nn
  2.74%  17.6326s      2183  8.0772ms  3.7920ms  14.671ms  void cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>*, kernel_grad_params, int, int, float, int)
  2.46%  15.8495s     15752  1.0062ms  831.57us  1.6238ms  maxwell_sgemm_128x128_tn
  2.39%  15.3780s     35084  438.32us  49.953us  2.0746ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float const , float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorConversionOp<float, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_cmp_op<float const , Eigen::internal::ComparisonName>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const , Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16> const > const > const > const > const > const , Eigen::GpuDevice>, long>(float, int=1)
  2.38%  15.3333s     76611  200.14us  28.416us  1.3168ms  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=4, int=1, int>, int=16>, Eigen::TensorBroadcastingOp<Eigen::array<int, unsigned long=4> const , Eigen::TensorMap<Eigen::Tensor<float const , int=4, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=4)
  2.16%  13.9255s      2896  4.8085ms  1.8440ms  8.9648ms  maxwell_scudnn_128x128_stridedB_splitK_interior_nn
  2.11%  13.6137s     11456  1.1884ms  865.11us  2.4298ms  maxwell_sgemm_128x64_nt
